contract_id,address,static_severity,behavioral_score,correlation_score,fused_risk_score,triggered_rules,findings_matched,label
kg_63f378ce703f,0xAdversary0005,0.98,0.5913,0.3,0.674,CR1,FG1,1
kg_5b48b45c42ff,0xAdversary0008,0.98,0.8055,0.0,0.6739,,,1
kg_63f378ce703f,0xAdversary0006,0.98,0.5869,0.3,0.6724,CR1,FG1,1
kg_01585b6ec1bb,0xAdversary0002,0.98,0.7972,0.0,0.671,,,1
kg_d260612bd717,0xAdversary0002,0.98,0.7958,0.0,0.6705,,,1
kg_cb3b1d1a0122,0xAdversary0008,0.98,0.7948,0.0,0.6702,,,1
kg_e4747c2afa8c,0xAdversary0000,0.98,0.5775,0.3,0.6691,CR1,FG1,1
kg_cb3b1d1a0122,0xAdversary0002,0.98,0.7909,0.0,0.6688,,,1
kg_63f378ce703f,0xAdversary0000,0.98,0.5757,0.3,0.6685,CR1,FG1,1
kg_e4747c2afa8c,0xStealth0000,0.98,0.7873,0.0,0.6675,,,1
kg_59e2a243ff9b,0xAdversary0002,0.98,0.7857,0.0,0.667,,,1
kg_68aa9db55f07,0xAdversary0006,0.98,0.5676,0.3,0.6657,CR1,FG1,1
kg_cb3b1d1a0122,0xAdversary0005,0.98,0.5674,0.3,0.6656,CR1,FG1,1
kg_01585b6ec1bb,0xAdversary0010,0.98,0.5306,0.35,0.6652,CR4,FG7,1
kg_8c2ebbd677b0,0xAdversary0002,0.98,0.78,0.0,0.665,,,1
kg_e4747c2afa8c,0xAdversary0006,0.98,0.5631,0.3,0.6641,CR1,FG1,1
kg_68aa9db55f07,0xAdversary0000,0.98,0.5606,0.3,0.6632,CR1,FG1,1
kg_5b48b45c42ff,0xAdversary0002,0.98,0.7745,0.0,0.6631,,,1
kg_63f378ce703f,0xStealth0004,0.98,0.7696,0.0,0.6614,,,1
kg_d260612bd717,0xAdversary0008,0.98,0.7682,0.0,0.6609,,,1
kg_e4747c2afa8c,0xStealth0002,0.98,0.7639,0.0,0.6594,,,1
kg_68aa9db55f07,0xStealth0003,0.98,0.7612,0.0,0.6584,,,1
kg_68aa9db55f07,0xStealth0006,0.98,0.7602,0.0,0.6581,,,1
kg_b463f6306f54,0xStealth0001,0.98,0.7578,0.0,0.6572,,,1
kg_e4747c2afa8c,0xStealth0006,0.98,0.7575,0.0,0.6571,,,1
kg_68aa9db55f07,0xStealth0005,0.98,0.7535,0.0,0.6557,,,1
kg_5b48b45c42ff,0xAdversary0009,0.98,0.7502,0.0,0.6546,,,1
kg_b463f6306f54,0xStealth0005,0.98,0.7479,0.0,0.6538,,,1
kg_7808cd544bf4,0xAdversary0005,0.98,0.5317,0.3,0.6531,CR1,FG1,1
kg_8c2ebbd677b0,0xAdversary0005,0.98,0.5276,0.3,0.6517,CR1,FG1,1
kg_e4747c2afa8c,0xBenign0013,0.98,0.7392,0.0,0.6507,,,1
kg_b463f6306f54,0xStealth0004,0.98,0.7391,0.0,0.6507,,,1
kg_b463f6306f54,0xBenign0006,0.98,0.7382,0.0,0.6504,,,1
kg_cb3b1d1a0122,0xAdversary0000,0.98,0.5224,0.3,0.6498,CR1,FG1,1
kg_7808cd544bf4,0xAdversary0011,0.98,0.5194,0.3,0.6488,CR1,FG1,1
kg_cb3b1d1a0122,0xAdversary0006,0.98,0.5178,0.3,0.6482,CR1,FG1,1
kg_68aa9db55f07,0xStealth0007,0.98,0.7309,0.0,0.6478,,,1
kg_e4747c2afa8c,0xBenign0006,0.98,0.7304,0.0,0.6476,,,1
kg_b463f6306f54,0xStealth0006,0.98,0.7268,0.0,0.6464,,,1
kg_7808cd544bf4,0xAdversary0008,0.98,0.726,0.0,0.6461,,,1
kg_63f378ce703f,0xStealth0002,0.98,0.725,0.0,0.6458,,,1
kg_7808cd544bf4,0xAdversary0002,0.98,0.7232,0.0,0.6451,,,1
kg_01585b6ec1bb,0xAdversary0008,0.98,0.7232,0.0,0.6451,,,1
kg_b463f6306f54,0xStealth0007,0.98,0.7227,0.0,0.645,,,1
kg_68aa9db55f07,0xBenign0005,0.98,0.7227,0.0,0.6449,,,1
kg_63f378ce703f,0xStealth0007,0.98,0.7211,0.0,0.6444,,,1
kg_7808cd544bf4,0xAdversary0006,0.98,0.506,0.3,0.6441,CR1,FG1,1
kg_63f378ce703f,0xStealth0005,0.98,0.7185,0.0,0.6435,,,1
kg_68aa9db55f07,0xAdversary0009,0.98,0.7146,0.0,0.6421,,,1
kg_8c2ebbd677b0,0xAdversary0011,0.98,0.4988,0.3,0.6416,CR1,FG1,1
kg_d260612bd717,0xBenign0001,0.98,0.7111,0.0,0.6409,,,1
kg_8c2ebbd677b0,0xAdversary0000,0.98,0.4938,0.3,0.6398,CR1,FG1,1
kg_8c2ebbd677b0,0xAdversary0006,0.98,0.493,0.3,0.6395,CR1,FG1,1
kg_eaaebcb18bf2,0xStealth0007,0.98,0.7056,0.0,0.6389,,,1
kg_e4747c2afa8c,0xStealth0003,0.98,0.705,0.0,0.6388,,,1
kg_4145f01120ea,0xAdversary0006,0.98,0.4906,0.3,0.6387,CR1,FG1,1
kg_eaaebcb18bf2,0xBenign0019,0.98,0.7044,0.0,0.6385,,,1
kg_68aa9db55f07,0xStealth0002,0.98,0.7035,0.0,0.6382,,,1
kg_b463f6306f54,0xBenign0017,0.98,0.703,0.0,0.6381,,,1
kg_b463f6306f54,0xBenign0011,0.98,0.7014,0.0,0.6375,,,1
kg_cb3b1d1a0122,0xStealth0000,0.98,0.7009,0.0,0.6373,,,1
kg_b463f6306f54,0xAdversary0009,0.98,0.6959,0.0,0.6356,,,1
kg_4145f01120ea,0xAdversary0011,0.98,0.4801,0.3,0.635,CR1,FG1,1
kg_59e2a243ff9b,0xStealth0003,0.98,0.6942,0.0,0.635,,,1
kg_e4747c2afa8c,0xStealth0004,0.98,0.6943,0.0,0.635,,,1
kg_63f378ce703f,0xStealth0003,0.98,0.693,0.0,0.6346,,,1
kg_b463f6306f54,0xBenign0016,0.98,0.6925,0.0,0.6344,,,1
kg_63f378ce703f,0xStealth0006,0.98,0.6916,0.0,0.6341,,,1
kg_e4747c2afa8c,0xAdversary0003,0.98,0.6913,0.0,0.634,,,1
kg_e4747c2afa8c,0xBenign0004,0.98,0.6896,0.0,0.6334,,,1
kg_4145f01120ea,0xAdversary0005,0.98,0.4738,0.3,0.6328,CR1,FG1,1
kg_b463f6306f54,0xBenign0014,0.98,0.6874,0.0,0.6326,,,1
kg_63f378ce703f,0xBenign0020,0.98,0.6876,0.0,0.6326,,,1
kg_68aa9db55f07,0xStealth0004,0.98,0.6862,0.0,0.6322,,,1
kg_850ce5cbe982,0xAdversary0008,0.8,0.8921,0.0,0.6322,,,1
kg_b463f6306f54,0xStealth0000,0.98,0.6855,0.0,0.6319,,,1
kg_5ed8e1877520,0xAdversary0009,0.98,0.6828,0.0,0.631,,,1
kg_b463f6306f54,0xAdversary0003,0.98,0.6815,0.0,0.6305,,,1
kg_e4747c2afa8c,0xBenign0008,0.98,0.6811,0.0,0.6304,,,1
kg_7808cd544bf4,0xAdversary0000,0.98,0.4668,0.3,0.6304,CR1,FG1,1
kg_68aa9db55f07,0xBenign0009,0.98,0.6802,0.0,0.6301,,,1
kg_e4747c2afa8c,0xAdversary0009,0.98,0.6784,0.0,0.6295,,,1
kg_e4747c2afa8c,0xBenign0010,0.98,0.6783,0.0,0.6294,,,1
kg_b463f6306f54,0xBenign0015,0.98,0.6777,0.0,0.6292,,,1
kg_68aa9db55f07,0xStealth0000,0.98,0.6774,0.0,0.6291,,,1
kg_cb3b1d1a0122,0xStealth0006,0.98,0.6772,0.0,0.629,,,1
kg_7d0c398264c2,0xAdversary0003,0.98,0.6766,0.0,0.6288,,,1
kg_cb3b1d1a0122,0xBenign0016,0.98,0.6756,0.0,0.6285,,,1
kg_63f378ce703f,0xStealth0000,0.98,0.6754,0.0,0.6284,,,1
kg_4145f01120ea,0xStealth0002,0.98,0.6745,0.0,0.6281,,,1
kg_4145f01120ea,0xAdversary0000,0.98,0.4594,0.3,0.6278,CR1,FG1,1
kg_b463f6306f54,0xBenign0018,0.98,0.6737,0.0,0.6278,,,1
kg_5b48b45c42ff,0xBenign0019,0.98,0.6733,0.0,0.6277,,,1
kg_63f378ce703f,0xStealth0001,0.98,0.672,0.0,0.6272,,,1
kg_cb3b1d1a0122,0xBenign0012,0.98,0.6718,0.0,0.6271,,,1
kg_8c2ebbd677b0,0xStealth0004,0.98,0.6709,0.0,0.6268,,,1
kg_63f378ce703f,0xBenign0019,0.98,0.6704,0.0,0.6266,,,1
kg_cb3b1d1a0122,0xStealth0001,0.98,0.667,0.0,0.6255,,,1
kg_68aa9db55f07,0xStealth0001,0.98,0.6672,0.0,0.6255,,,1
kg_eaaebcb18bf2,0xBenign0005,0.98,0.667,0.0,0.6254,,,1
kg_8c2ebbd677b0,0xStealth0005,0.98,0.6666,0.0,0.6253,,,1
kg_cb3b1d1a0122,0xAdversary0003,0.98,0.6657,0.0,0.625,,,1
kg_7808cd544bf4,0xAdversary0003,0.98,0.6613,0.0,0.6235,,,1
kg_eaaebcb18bf2,0xStealth0003,0.98,0.6613,0.0,0.6235,,,1
kg_e4747c2afa8c,0xStealth0005,0.98,0.6611,0.0,0.6234,,,1
kg_e4747c2afa8c,0xStealth0001,0.98,0.6609,0.0,0.6233,,,1
kg_36cce373c38e,0xAdversary0008,0.8,0.8659,0.0,0.6231,,,1
kg_b463f6306f54,0xStealth0003,0.98,0.6603,0.0,0.6231,,,1
kg_5b48b45c42ff,0xStealth0003,0.98,0.6589,0.0,0.6226,,,1
kg_5b48b45c42ff,0xStealth0002,0.98,0.6576,0.0,0.6222,,,1
kg_b463f6306f54,0xStealth0002,0.98,0.6573,0.0,0.6221,,,1
kg_e4747c2afa8c,0xBenign0018,0.98,0.6571,0.0,0.622,,,1
kg_68aa9db55f07,0xBenign0002,0.98,0.6561,0.0,0.6216,,,1
kg_b463f6306f54,0xBenign0008,0.98,0.6559,0.0,0.6216,,,1
kg_b463f6306f54,0xBenign0000,0.98,0.6555,0.0,0.6214,,,1
kg_36cce373c38e,0xAdversary0002,0.8,0.8601,0.0,0.621,,,1
kg_cb3b1d1a0122,0xStealth0005,0.98,0.6523,0.0,0.6203,,,1
kg_b463f6306f54,0xBenign0012,0.98,0.6502,0.0,0.6196,,,1
kg_4145f01120ea,0xStealth0007,0.98,0.648,0.0,0.6188,,,1
kg_68aa9db55f07,0xBenign0016,0.98,0.6479,0.0,0.6188,,,1
kg_8c2ebbd677b0,0xStealth0000,0.98,0.6472,0.0,0.6185,,,1
kg_e4747c2afa8c,0xStealth0007,0.98,0.6468,0.0,0.6184,,,1
kg_7d0c398264c2,0xBenign0004,0.98,0.6466,0.0,0.6183,,,1
kg_8c2ebbd677b0,0xStealth0002,0.98,0.6462,0.0,0.6182,,,1
kg_59e2a243ff9b,0xBenign0010,0.98,0.6459,0.0,0.618,,,1
kg_59e2a243ff9b,0xStealth0005,0.98,0.6456,0.0,0.6179,,,1
kg_e4747c2afa8c,0xBenign0015,0.98,0.6452,0.0,0.6178,,,1
kg_5ed8e1877520,0xAdversary0003,0.98,0.6448,0.0,0.6177,,,1
kg_59e2a243ff9b,0xStealth0006,0.98,0.6442,0.0,0.6175,,,1
kg_4145f01120ea,0xAdversary0009,0.98,0.6427,0.0,0.617,,,1
kg_8c2ebbd677b0,0xBenign0003,0.98,0.6429,0.0,0.617,,,1
kg_cb3b1d1a0122,0xStealth0003,0.98,0.6425,0.0,0.6169,,,1
kg_d260612bd717,0xStealth0005,0.98,0.6426,0.0,0.6169,,,1
kg_a0fec05e38bb,0xAdversary0002,0.8,0.8481,0.0,0.6168,,,1
kg_e4747c2afa8c,0xBenign0020,0.98,0.6413,0.0,0.6165,,,1
kg_8c2ebbd677b0,0xStealth0003,0.98,0.6416,0.0,0.6165,,,1
kg_cb3b1d1a0122,0xStealth0002,0.98,0.6383,0.0,0.6154,,,1
kg_68aa9db55f07,0xAdversary0003,0.98,0.6378,0.0,0.6152,,,1
kg_cb3b1d1a0122,0xBenign0011,0.98,0.6378,0.0,0.6152,,,1
kg_0a9aebf5e803,0xAdversary0002,0.8,0.8435,0.0,0.6152,,,0
kg_8c2ebbd677b0,0xStealth0001,0.98,0.6359,0.0,0.6146,,,0
kg_b463f6306f54,0xBenign0002,0.98,0.6356,0.0,0.6145,,,0
kg_eaaebcb18bf2,0xStealth0004,0.98,0.6351,0.0,0.6143,,,0
kg_5b48b45c42ff,0xStealth0007,0.98,0.6346,0.0,0.6141,,,0
kg_5b48b45c42ff,0xStealth0000,0.98,0.6338,0.0,0.6138,,,0
kg_5b48b45c42ff,0xStealth0006,0.98,0.6334,0.0,0.6137,,,0
kg_59e2a243ff9b,0xBenign0003,0.98,0.6323,0.0,0.6133,,,0
kg_e4747c2afa8c,0xBenign0016,0.98,0.6322,0.0,0.6133,,,0
kg_eaaebcb18bf2,0xStealth0002,0.98,0.632,0.0,0.6132,,,0
kg_63f378ce703f,0xBenign0011,0.98,0.6318,0.0,0.6131,,,0
kg_e4747c2afa8c,0xBenign0003,0.98,0.6317,0.0,0.6131,,,0
kg_4145f01120ea,0xAdversary0003,0.98,0.6318,0.0,0.6131,,,0
kg_e4747c2afa8c,0xBenign0005,0.98,0.631,0.0,0.6128,,,0
kg_5ed8e1877520,0xStealth0000,0.98,0.6306,0.0,0.6127,,,0
kg_59e2a243ff9b,0xStealth0007,0.98,0.6294,0.0,0.6123,,,0
kg_68aa9db55f07,0xBenign0018,0.98,0.6294,0.0,0.6123,,,0
kg_eaaebcb18bf2,0xStealth0006,0.98,0.6291,0.0,0.6122,,,0
kg_d260612bd717,0xBenign0019,0.98,0.6289,0.0,0.6121,,,0
kg_5ed8e1877520,0xStealth0005,0.98,0.6281,0.0,0.6118,,,0
kg_7d0c398264c2,0xStealth0002,0.98,0.6278,0.0,0.6117,,,0
kg_63f378ce703f,0xBenign0009,0.98,0.6276,0.0,0.6117,,,0
kg_59e2a243ff9b,0xBenign0020,0.98,0.6277,0.0,0.6117,,,0
kg_5ed8e1877520,0xStealth0003,0.98,0.6275,0.0,0.6116,,,0
kg_d260612bd717,0xAdversary0009,0.98,0.6247,0.0,0.6106,,,0
kg_b463f6306f54,0xBenign0004,0.98,0.624,0.0,0.6104,,,0
kg_7808cd544bf4,0xStealth0007,0.98,0.6233,0.0,0.6102,,,0
kg_d260612bd717,0xAdversary0003,0.98,0.6212,0.0,0.6094,,,0
kg_b463f6306f54,0xBenign0001,0.98,0.6208,0.0,0.6093,,,0
kg_63f378ce703f,0xBenign0016,0.98,0.6207,0.0,0.6092,,,0
kg_4145f01120ea,0xStealth0005,0.98,0.6205,0.0,0.6092,,,1
kg_d260612bd717,0xStealth0007,0.98,0.6191,0.0,0.6087,,,1
kg_7808cd544bf4,0xStealth0003,0.98,0.619,0.0,0.6087,,,1
kg_d260612bd717,0xStealth0003,0.98,0.6182,0.0,0.6084,,,1
kg_e4747c2afa8c,0xBenign0001,0.98,0.6175,0.0,0.6081,,,1
kg_eaaebcb18bf2,0xStealth0001,0.98,0.6165,0.0,0.6078,,,1
kg_5ed8e1877520,0xStealth0002,0.98,0.6165,0.0,0.6078,,,1
kg_59e2a243ff9b,0xAdversary0009,0.98,0.6166,0.0,0.6078,,,1
kg_68aa9db55f07,0xBenign0014,0.98,0.6159,0.0,0.6076,,,1
kg_63f378ce703f,0xBenign0005,0.98,0.6157,0.0,0.6075,,,1
kg_b463f6306f54,0xBenign0009,0.98,0.6151,0.0,0.6073,,,1
